source,source_code,source_sheet,대분류,중분류,source_item_text,source_operation_type,canonical_id
union_standard_time,3518013.0,승합-소형승합,기능정비,에어컨,에어컨 컴프레샤,교환,CAN-001824
union_standard_time,3518016.0,승합-소형승합,기능정비,엔진 부품,라디에이터,탈착,CAN-000315
union_standard_time,3518016.0,승합-소형승합,기능정비,엔진 부품,라디에이터,교환,CAN-000314
union_standard_time,3518025.0,승합-소형승합,소모품 및 하체정비,오일류,오일쿨러(미션),탈착,CAN-002164
union_standard_time,3518025.0,승합-소형승합,소모품 및 하체정비,오일류,오일쿨러(미션),교환,CAN-002163
union_standard_time,3518027.0,승합-소형승합,소모품 및 하체정비,오일류,오일쿨러(파워오일),탈착,CAN-002168
union_standard_time,3518027.0,승합-소형승합,소모품 및 하체정비,오일류,오일쿨러(파워오일),교환,CAN-002167
union_standard_time,3518029.0,승합-소형승합,기능정비,엔진 부품,라디에이터 리저브탱크,탈착,CAN-000336
union_standard_time,3518029.0,승합-소형승합,기능정비,엔진 부품,라디에이터 리저브탱크,교환,CAN-000335
union_standard_time,3518030.0,승합-소형승합,기능정비,전기 및 램프,와셔탱크(앞),탈착,CAN-002186
union_standard_time,3518030.0,승합-소형승합,기능정비,전기 및 램프,와셔탱크(앞),교환,CAN-002185
union_standard_time,3518031.0,승합-소형승합,기능정비,전기 및 램프,와셔탱크(뒤),탈착,CAN-002184
union_standard_time,3518031.0,승합-소형승합,기능정비,전기 및 램프,와셔탱크(뒤),교환,CAN-002183
union_standard_time,3518032.0,승합-소형승합,기능정비,엔진 부품,알터네이터,탈착,CAN-001675
union_standard_time,3518032.0,승합-소형승합,기능정비,엔진 부품,알터네이터,교환,CAN-001674
union_standard_time,3518033.0,승합-소형승합,기능정비,엔진 부품,스타팅모터,탈착,CAN-001360
union_standard_time,3518033.0,승합-소형승합,기능정비,엔진 부품,스타팅모터,교환,CAN-001359
union_standard_time,3518034.0,승합-소형승합,기능정비,엔진 부품,디스트리뷰터,탈착,CAN-000291
union_standard_time,3518034.0,승합-소형승합,기능정비,엔진 부품,디스트리뷰터,교환,CAN-000290
union_standard_time,3519003.0,승합-소형승합,기능정비,에어컨,에어컨 파이프 NO.1,탈착,CAN-001833
union_standard_time,3519003.0,승합-소형승합,기능정비,에어컨,에어컨 파이프 NO.1,교환,CAN-001832
union_standard_time,3519004.0,승합-소형승합,기능정비,에어컨,에어컨 파이프 NO.2,탈착,CAN-001837
union_standard_time,3519004.0,승합-소형승합,기능정비,에어컨,에어컨 파이프 NO.2,교환,CAN-001836
union_standard_time,3519005.0,승합-소형승합,기능정비,에어컨,에어컨 파이프 NO.3,탈착,CAN-001841
union_standard_time,3519005.0,승합-소형승합,기능정비,에어컨,에어컨 파이프 NO.3,교환,CAN-001840
union_standard_time,3519006.0,승합-소형승합,기능정비,에어컨,에어컨 파이프 NO.4,탈착,CAN-001845
union_standard_time,3519006.0,승합-소형승합,기능정비,에어컨,에어컨 파이프 NO.4,교환,CAN-001844
union_standard_time,3519012.0,승합-소형승합,기능정비,엔진 부품,리시버 드라이탱크,탈착,CAN-000487
union_standard_time,3519012.0,승합-소형승합,기능정비,엔진 부품,리시버 드라이탱크,교환,CAN-000486
union_standard_time,3519018.0,승합-소형승합,기능정비,엔진 부품,라디에이터 휀,탈착,CAN-000355
union_standard_time,3519018.0,승합-소형승합,기능정비,엔진 부품,라디에이터 휀,교환,CAN-000354
union_standard_time,3538001.0,승합-소형승합,기능정비,엔진 부품,컴퓨터(엔진),탈착,CAN-002555
union_standard_time,3538001.0,승합-소형승합,기능정비,엔진 부품,컴퓨터(엔진),교환,CAN-002554
union_standard_time,3538003.0,승합-소형승합,기능정비,엔진 부품,컴퓨터(자동밋션),탈착,CAN-002560
union_standard_time,3538003.0,승합-소형승합,기능정비,엔진 부품,컴퓨터(자동밋션),교환,CAN-002559
union_standard_time,3538005.0,승합-소형승합,기능정비,전기 및 램프,컴퓨터(ABS),탈착,CAN-002549
union_standard_time,3538005.0,승합-소형승합,기능정비,전기 및 램프,컴퓨터(ABS),교환,CAN-002548
union_standard_time,3538006.0,승합-소형승합,기능정비,전기 및 램프,컴퓨터(에어백),탈착,CAN-002553
union_standard_time,3538006.0,승합-소형승합,기능정비,전기 및 램프,컴퓨터(에어백),교환,CAN-002552
union_standard_time,3538011.0,승합-소형승합,판금/도장정비,판금(탈부착),선루프기구(전동식),탈착,CAN-001271
